Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
4.86,0.1083025,-0.03772547,0.9934019,-0.004168036,0.001616196,0.00722786,-0.2067288,-0.6526062,0.7288208,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2124369,-0.07383475,1.994032
4.87,0.1079047,-0.03743723,0.9934561,-0.004183971,0.00162188,0.007201528,-0.2483563,-0.5825912,0.7737809,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2116255,-0.07325258,1.994114
4.89,0.1081477,-0.03882849,0.9933763,-0.004270959,0.001610813,0.007162483,-0.2843422,-0.5151786,0.8084477,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2120245,-0.07604617,1.993915
4.91,0.1079999,-0.04006385,0.9933434,-0.004373854,0.001619456,0.007097249,-0.3161337,-0.4515768,0.8342662,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2116259,-0.07850824,1.993784
4.92,0.1113215,-0.04172798,0.992908,-0.004689672,0.001660579,0.007029809,-0.3446422,-0.3920686,0.8528658,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2179533,-0.08179537,1.992846
4.94,0.1141846,-0.04312634,0.992523,-0.005005038,0.001719282,0.006935515,-0.3723781,-0.3368292,0.8647363,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2233642,-0.08453341,1.991982
4.96,0.1169033,-0.04436957,0.9921516,-0.005426713,0.001792576,0.006833436,-0.3995654,-0.2856418,0.8710084,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.22838,-0.08694656,1.991137
4.97,0.1192592,-0.0454421,0.9918227,-0.005844234,0.001889095,0.006713734,-0.4271269,-0.2384211,0.8721396,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2326742,-0.08899511,1.990359
4.99,0.1217861,-0.04660093,0.9914618,-0.006300204,0.001991426,0.006584751,-0.4549325,-0.1947362,0.8689262,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.237272,-0.09121042,1.989508
5.01,0.1240622,-0.04760084,0.9911321,-0.006732128,0.002099598,0.006432612,-0.4830714,-0.1544172,0.8618142,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2413923,-0.09310208,1.988697
5.02,0.1240622,-0.04760084,0.9911321,-0.006732128,0.002099598,0.006432612,-0.5112454,-0.1171522,0.8513737,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2413923,-0.09310208,1.988697
5.04,0.1240622,-0.04760084,0.9911321,-0.006732128,0.002099598,0.006432612,-0.5356022,-0.08338151,0.8403082,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.2413923,-0.09310208,1.988697
5.06,0.1893652,-0.07403422,0.9791118,-0.01711007,0.005405923,0.001227356,-0.5566747,-0.05285356,0.829015,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.3616203,-0.1426625,1.959451
5.07,0.1894133,-0.07401468,0.9791039,-0.01709794,0.005415573,0.001199774,-0.6283556,-0.01386137,0.7777715,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.3617287,-0.1426138,1.959407
5.09,0.1900403,-0.07433596,0.978958,-0.01701067,0.005444171,0.001137233,-0.6879954,0.02144875,0.7253677,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.36307,-0.1432278,1.959053
